# logM_lo logM_hi N Mave
1.288516507649710441e+01 1.309090682267224892e+01 1.514192565509636770e+05 9.571203623217000000e+12
1.309090682267224892e+01 1.329664856884739343e+01 7.678357256024341041e+04 1.535604356551400000e+13
1.329664856884739343e+01 1.350239031502253795e+01 3.676268505282768456e+04 2.456778239816100000e+13
1.350239031502253795e+01 1.370813206119768424e+01 1.596596895617937480e+04 3.935214739229000000e+13
1.370813206119768424e+01 1.391387380737282875e+01 5.997777993442603474e+03 6.282924217961600000e+13
1.391387380737282875e+01 1.411961555354797326e+01 1.930418612435232717e+03 1.001104598054270000e+14
1.411961555354797326e+01 1.432535729972311778e+01 4.897728181638939304e+02 1.591785975609750000e+14
1.432535729972311778e+01 1.453109904589826229e+01 9.175230372887645558e+01 2.582272000000000000e+14
1.453109904589826229e+01 1.473684079207340680e+01 9.811298370991448081e+00 4.310166666666660000e+14
1.473684079207340680e+01 1.494258253824855132e+01 6.004540025066052999e-01 7.448700000000000000e+14
